bytes,filename,sfc,compression,bitshuffle
8049571,1518913830_0_0_0,Raster,BWT77,False
10156458,1518913830_0_0_0,Raster,BWTW,False
7612932,1518913830_0_0_0,Raster,BZIP2,False
7991919,1518913830_0_0_0,Gray,BWT77,False
9796390,1518913830_0_0_0,Gray,BWTW,False
7346767,1518913830_0_0_0,Gray,BZIP2,False
6648233,1518913830_0_0_0,Gray,GZIP,False
8934540,1518913830_0_0_0,Gray,HFF,False
7342907,1518913830_0_0_0,Gray,LZ77,False
7347070,1518913830_0_0_0,Gray,LZO,False
9564977,1518913830_0_0_0,Gray,LZW,False
10485764,1518913830_0_0_0,Gray,RLE,False
6922117,1518913830_0_0_0,Raster,GZIP,False
8268093,1518913830_0_0_0,Hilbert,BWT77,False
10401354,1518913830_0_0_0,Hilbert,BWTW,False
7578543,1518913830_0_0_0,Hilbert,BZIP2,False
7269904,1518913830_0_0_0,Hilbert,GZIP,False
8934540,1518913830_0_0_0,Hilbert,HFF,False
7941466,1518913830_0_0_0,Hilbert,LZ77,False
8054092,1518913830_0_0_0,Hilbert,LZO,False
9493669,1518913830_0_0_0,Hilbert,LZW,False
10485749,1518913830_0_0_0,Hilbert,RLE,False
8934540,1518913830_0_0_0,Raster,HFF,False
7422615,1518913830_0_0_0,Raster,LZ77,False
8389076,1518913830_0_0_0,Raster,LZO,False
9694174,1518913830_0_0_0,Raster,LZW,False
7991674,1518913830_0_0_0,Z-Order,BWT77,False
9795242,1518913830_0_0_0,Z-Order,BWTW,False
7365404,1518913830_0_0_0,Z-Order,BZIP2,False
6656399,1518913830_0_0_0,Z-Order,GZIP,False
8934540,1518913830_0_0_0,Z-Order,HFF,False
7342424,1518913830_0_0_0,Z-Order,LZ77,False
7342959,1518913830_0_0_0,Z-Order,LZO,False
9582548,1518913830_0_0_0,Z-Order,LZW,False
10485769,1518913830_0_0_0,Z-Order,RLE,False
10485769,1518913830_0_0_0,Raster,RLE,False
8389168,1518913830_0_0_128,Raster,BWT77,False
11095790,1518913830_0_0_128,Raster,BWTW,False
8044084,1518913830_0_0_128,Raster,BZIP2,False
8389243,1518913830_0_0_128,Gray,BWT77,False
10969749,1518913830_0_0_128,Gray,BWTW,False
7962122,1518913830_0_0_128,Gray,BZIP2,False
7691930,1518913830_0_0_128,Gray,GZIP,False
8903775,1518913830_0_0_128,Gray,HFF,False
8391080,1518913830_0_0_128,Gray,LZ77,False
8389082,1518913830_0_0_128,Gray,LZO,False
9858234,1518913830_0_0_128,Gray,LZW,False
10485769,1518913830_0_0_128,Gray,RLE,False
7795032,1518913830_0_0_128,Raster,GZIP,False
8389344,1518913830_0_0_128,Hilbert,BWT77,False
10901532,1518913830_0_0_128,Hilbert,BWTW,False
7940967,1518913830_0_0_128,Hilbert,BZIP2,False
7677011,1518913830_0_0_128,Hilbert,GZIP,False
8903775,1518913830_0_0_128,Hilbert,HFF,False
8392120,1518913830_0_0_128,Hilbert,LZ77,False
8389083,1518913830_0_0_128,Hilbert,LZO,False
9821285,1518913830_0_0_128,Hilbert,LZW,False
10485769,1518913830_0_0_128,Hilbert,RLE,False
8903775,1518913830_0_0_128,Raster,HFF,False
8390348,1518913830_0_0_128,Raster,LZ77,False
8389078,1518913830_0_0_128,Raster,LZO,False
10016357,1518913830_0_0_128,Raster,LZW,False
8389244,1518913830_0_0_128,Z-Order,BWT77,False
10969448,1518913830_0_0_128,Z-Order,BWTW,False
7970630,1518913830_0_0_128,Z-Order,BZIP2,False
7696193,1518913830_0_0_128,Z-Order,GZIP,False
8903775,1518913830_0_0_128,Z-Order,HFF,False
8390603,1518913830_0_0_128,Z-Order,LZ77,False
8389083,1518913830_0_0_128,Z-Order,LZO,False
9869091,1518913830_0_0_128,Z-Order,LZW,False
10485769,1518913830_0_0_128,Z-Order,RLE,False
