bytes,name,curve,compression,bittransposed
1935038,s22_e013_1arc_v3.ne,Raster,BWT77,False
1333008,s22_e013_1arc_v3.ne,Raster,BWTW,False
909285,s22_e013_1arc_v3.ne,Raster,BZIP2,False
2161395,s22_e013_1arc_v3.ne,Gray,BWT77,False
1534062,s22_e013_1arc_v3.ne,Gray,BWTW,False
1087404,s22_e013_1arc_v3.ne,Gray,BZIP2,False
1607837,s22_e013_1arc_v3.ne,Gray,GZIP,False
4421876,s22_e013_1arc_v3.ne,Gray,HFF,False
2233617,s22_e013_1arc_v3.ne,Gray,LZ77,False
1820961,s22_e013_1arc_v3.ne,Gray,LZO,False
1770590,s22_e013_1arc_v3.ne,Gray,LZW,False
5351787,s22_e013_1arc_v3.ne,Gray,RLE,False
1823183,s22_e013_1arc_v3.ne,Raster,GZIP,False
1883651,s22_e013_1arc_v3.ne,Hilbert,BWT77,False
1312329,s22_e013_1arc_v3.ne,Hilbert,BWTW,False
940731,s22_e013_1arc_v3.ne,Hilbert,BZIP2,False
1475027,s22_e013_1arc_v3.ne,Hilbert,GZIP,False
4421876,s22_e013_1arc_v3.ne,Hilbert,HFF,False
2011228,s22_e013_1arc_v3.ne,Hilbert,LZ77,False
1707976,s22_e013_1arc_v3.ne,Hilbert,LZO,False
1605928,s22_e013_1arc_v3.ne,Hilbert,LZW,False
5119989,s22_e013_1arc_v3.ne,Hilbert,RLE,False
4421876,s22_e013_1arc_v3.ne,Raster,HFF,False
2211323,s22_e013_1arc_v3.ne,Raster,LZ77,False
2096735,s22_e013_1arc_v3.ne,Raster,LZO,False
2563433,s22_e013_1arc_v3.ne,Raster,LZW,False
2096623,s22_e013_1arc_v3.ne,Morton,BWT77,False
1482869,s22_e013_1arc_v3.ne,Morton,BWTW,False
1051160,s22_e013_1arc_v3.ne,Morton,BZIP2,False
1611190,s22_e013_1arc_v3.ne,Morton,GZIP,False
4421876,s22_e013_1arc_v3.ne,Morton,HFF,False
2206323,s22_e013_1arc_v3.ne,Morton,LZ77,False
1813399,s22_e013_1arc_v3.ne,Morton,LZO,False
1764923,s22_e013_1arc_v3.ne,Morton,LZW,False
5383164,s22_e013_1arc_v3.ne,Morton,RLE,False
5138328,s22_e013_1arc_v3.ne,Raster,RLE,False
39693,s22_e013_1arc_v3.nw,Raster,BWT77,False
52414,s22_e013_1arc_v3.nw,Raster,BWTW,False
16438,s22_e013_1arc_v3.nw,Raster,BZIP2,False
40012,s22_e013_1arc_v3.nw,Gray,BWT77,False
53416,s22_e013_1arc_v3.nw,Gray,BWTW,False
18281,s22_e013_1arc_v3.nw,Gray,BZIP2,False
36699,s22_e013_1arc_v3.nw,Gray,GZIP,False
2122432,s22_e013_1arc_v3.nw,Gray,HFF,False
40220,s22_e013_1arc_v3.nw,Gray,LZ77,False
75256,s22_e013_1arc_v3.nw,Gray,LZO,False
36758,s22_e013_1arc_v3.nw,Gray,LZW,False
137532,s22_e013_1arc_v3.nw,Gray,RLE,False
41440,s22_e013_1arc_v3.nw,Raster,GZIP,False
33215,s22_e013_1arc_v3.nw,Hilbert,BWT77,False
49681,s22_e013_1arc_v3.nw,Hilbert,BWTW,False
16063,s22_e013_1arc_v3.nw,Hilbert,BZIP2,False
31824,s22_e013_1arc_v3.nw,Hilbert,GZIP,False
2122432,s22_e013_1arc_v3.nw,Hilbert,HFF,False
34318,s22_e013_1arc_v3.nw,Hilbert,LZ77,False
72826,s22_e013_1arc_v3.nw,Hilbert,LZO,False
32056,s22_e013_1arc_v3.nw,Hilbert,LZW,False
132744,s22_e013_1arc_v3.nw,Hilbert,RLE,False
2122432,s22_e013_1arc_v3.nw,Raster,HFF,False
42635,s22_e013_1arc_v3.nw,Raster,LZ77,False
80571,s22_e013_1arc_v3.nw,Raster,LZO,False
37490,s22_e013_1arc_v3.nw,Raster,LZW,False
38876,s22_e013_1arc_v3.nw,Morton,BWT77,False
52835,s22_e013_1arc_v3.nw,Morton,BWTW,False
17892,s22_e013_1arc_v3.nw,Morton,BZIP2,False
36585,s22_e013_1arc_v3.nw,Morton,GZIP,False
2122432,s22_e013_1arc_v3.nw,Morton,HFF,False
38779,s22_e013_1arc_v3.nw,Morton,LZ77,False
75043,s22_e013_1arc_v3.nw,Morton,LZO,False
36952,s22_e013_1arc_v3.nw,Morton,LZW,False
138402,s22_e013_1arc_v3.nw,Morton,RLE,False
134130,s22_e013_1arc_v3.nw,Raster,RLE,False
388977,s22_e013_1arc_v3.se,Raster,BWT77,False
276457,s22_e013_1arc_v3.se,Raster,BWTW,False
173038,s22_e013_1arc_v3.se,Raster,BZIP2,False
423340,s22_e013_1arc_v3.se,Gray,BWT77,False
313733,s22_e013_1arc_v3.se,Gray,BWTW,False
207359,s22_e013_1arc_v3.se,Gray,BZIP2,False
334684,s22_e013_1arc_v3.se,Gray,GZIP,False
2518683,s22_e013_1arc_v3.se,Gray,HFF,False
449548,s22_e013_1arc_v3.se,Gray,LZ77,False
396496,s22_e013_1arc_v3.se,Gray,LZO,False
358694,s22_e013_1arc_v3.se,Gray,LZW,False
1096983,s22_e013_1arc_v3.se,Gray,RLE,False
372469,s22_e013_1arc_v3.se,Raster,GZIP,False
369270,s22_e013_1arc_v3.se,Hilbert,BWT77,False
272264,s22_e013_1arc_v3.se,Hilbert,BWTW,False
179232,s22_e013_1arc_v3.se,Hilbert,BZIP2,False
297581,s22_e013_1arc_v3.se,Hilbert,GZIP,False
2518683,s22_e013_1arc_v3.se,Hilbert,HFF,False
400328,s22_e013_1arc_v3.se,Hilbert,LZ77,False
371212,s22_e013_1arc_v3.se,Hilbert,LZO,False
319535,s22_e013_1arc_v3.se,Hilbert,LZW,False
1041951,s22_e013_1arc_v3.se,Hilbert,RLE,False
2518683,s22_e013_1arc_v3.se,Raster,HFF,False
452510,s22_e013_1arc_v3.se,Raster,LZ77,False
454178,s22_e013_1arc_v3.se,Raster,LZO,False
439553,s22_e013_1arc_v3.se,Raster,LZW,False
413254,s22_e013_1arc_v3.se,Morton,BWT77,False
306490,s22_e013_1arc_v3.se,Morton,BWTW,False
201315,s22_e013_1arc_v3.se,Morton,BZIP2,False
333409,s22_e013_1arc_v3.se,Morton,GZIP,False
2518683,s22_e013_1arc_v3.se,Morton,HFF,False
443438,s22_e013_1arc_v3.se,Morton,LZ77,False
395437,s22_e013_1arc_v3.se,Morton,LZO,False
358462,s22_e013_1arc_v3.se,Morton,LZW,False
1107420,s22_e013_1arc_v3.se,Morton,RLE,False
1042779,s22_e013_1arc_v3.se,Raster,RLE,False
809,s22_e013_1arc_v3.sw,Raster,BWT77,False
28489,s22_e013_1arc_v3.sw,Raster,BWTW,False
63,s22_e013_1arc_v3.sw,Raster,BZIP2,False
809,s22_e013_1arc_v3.sw,Gray,BWT77,False
28489,s22_e013_1arc_v3.sw,Gray,BWTW,False
64,s22_e013_1arc_v3.sw,Gray,BZIP2,False
8202,s22_e013_1arc_v3.sw,Gray,GZIP,False
1048623,s22_e013_1arc_v3.sw,Gray,HFF,False
20,s22_e013_1arc_v3.sw,Gray,LZ77,False
45697,s22_e013_1arc_v3.sw,Gray,LZO,False
7245,s22_e013_1arc_v3.sw,Gray,LZW,False
49356,s22_e013_1arc_v3.sw,Gray,RLE,False
8196,s22_e013_1arc_v3.sw,Raster,GZIP,False
809,s22_e013_1arc_v3.sw,Hilbert,BWT77,False
28489,s22_e013_1arc_v3.sw,Hilbert,BWTW,False
64,s22_e013_1arc_v3.sw,Hilbert,BZIP2,False
8203,s22_e013_1arc_v3.sw,Hilbert,GZIP,False
1048623,s22_e013_1arc_v3.sw,Hilbert,HFF,False
20,s22_e013_1arc_v3.sw,Hilbert,LZ77,False
45698,s22_e013_1arc_v3.sw,Hilbert,LZO,False
7245,s22_e013_1arc_v3.sw,Hilbert,LZW,False
49356,s22_e013_1arc_v3.sw,Hilbert,RLE,False
1048623,s22_e013_1arc_v3.sw,Raster,HFF,False
20,s22_e013_1arc_v3.sw,Raster,LZ77,False
45692,s22_e013_1arc_v3.sw,Raster,LZO,False
7245,s22_e013_1arc_v3.sw,Raster,LZW,False
809,s22_e013_1arc_v3.sw,Morton,BWT77,False
28489,s22_e013_1arc_v3.sw,Morton,BWTW,False
63,s22_e013_1arc_v3.sw,Morton,BZIP2,False
8203,s22_e013_1arc_v3.sw,Morton,GZIP,False
1048623,s22_e013_1arc_v3.sw,Morton,HFF,False
20,s22_e013_1arc_v3.sw,Morton,LZ77,False
45698,s22_e013_1arc_v3.sw,Morton,LZO,False
7245,s22_e013_1arc_v3.sw,Morton,LZW,False
49356,s22_e013_1arc_v3.sw,Morton,RLE,False
49356,s22_e013_1arc_v3.sw,Raster,RLE,False
3659063,s22_e014_1arc_v3.ne,Raster,BWT77,False
2549810,s22_e014_1arc_v3.ne,Raster,BWTW,False
1677450,s22_e014_1arc_v3.ne,Raster,BZIP2,False
4257614,s22_e014_1arc_v3.ne,Gray,BWT77,False
3104530,s22_e014_1arc_v3.ne,Gray,BWTW,False
2121924,s22_e014_1arc_v3.ne,Gray,BZIP2,False
3184511,s22_e014_1arc_v3.ne,Gray,GZIP,False
7193102,s22_e014_1arc_v3.ne,Gray,HFF,False
4429109,s22_e014_1arc_v3.ne,Gray,LZ77,False
3559661,s22_e014_1arc_v3.ne,Gray,LZO,False
3664038,s22_e014_1arc_v3.ne,Gray,LZW,False
9571596,s22_e014_1arc_v3.ne,Gray,RLE,False
3325088,s22_e014_1arc_v3.ne,Raster,GZIP,False
3761867,s22_e014_1arc_v3.ne,Hilbert,BWT77,False
2633481,s22_e014_1arc_v3.ne,Hilbert,BWTW,False
1783206,s22_e014_1arc_v3.ne,Hilbert,BZIP2,False
2917433,s22_e014_1arc_v3.ne,Hilbert,GZIP,False
7193102,s22_e014_1arc_v3.ne,Hilbert,HFF,False
4057998,s22_e014_1arc_v3.ne,Hilbert,LZ77,False
3329294,s22_e014_1arc_v3.ne,Hilbert,LZO,False
3385805,s22_e014_1arc_v3.ne,Hilbert,LZW,False
9084366,s22_e014_1arc_v3.ne,Hilbert,RLE,False
7193102,s22_e014_1arc_v3.ne,Raster,HFF,False
4183809,s22_e014_1arc_v3.ne,Raster,LZ77,False
3818420,s22_e014_1arc_v3.ne,Raster,LZO,False
5337572,s22_e014_1arc_v3.ne,Raster,LZW,False
4118262,s22_e014_1arc_v3.ne,Morton,BWT77,False
2978224,s22_e014_1arc_v3.ne,Morton,BWTW,False
2028440,s22_e014_1arc_v3.ne,Morton,BZIP2,False
3110348,s22_e014_1arc_v3.ne,Morton,GZIP,False
7193102,s22_e014_1arc_v3.ne,Morton,HFF,False
4324497,s22_e014_1arc_v3.ne,Morton,LZ77,False
3503350,s22_e014_1arc_v3.ne,Morton,LZO,False
3593825,s22_e014_1arc_v3.ne,Morton,LZW,False
9584796,s22_e014_1arc_v3.ne,Morton,RLE,False
9002814,s22_e014_1arc_v3.ne,Raster,RLE,False
3998177,s22_e014_1arc_v3.nw,Raster,BWT77,False
2840179,s22_e014_1arc_v3.nw,Raster,BWTW,False
1840912,s22_e014_1arc_v3.nw,Raster,BZIP2,False
4767215,s22_e014_1arc_v3.nw,Gray,BWT77,False
3468103,s22_e014_1arc_v3.nw,Gray,BWTW,False
2381617,s22_e014_1arc_v3.nw,Gray,BZIP2,False
3503901,s22_e014_1arc_v3.nw,Gray,GZIP,False
7175238,s22_e014_1arc_v3.nw,Gray,HFF,False
4867456,s22_e014_1arc_v3.nw,Gray,LZ77,False
3846123,s22_e014_1arc_v3.nw,Gray,LZO,False
4034708,s22_e014_1arc_v3.nw,Gray,LZW,False
10066002,s22_e014_1arc_v3.nw,Gray,RLE,False
3645718,s22_e014_1arc_v3.nw,Raster,GZIP,False
4158981,s22_e014_1arc_v3.nw,Hilbert,BWT77,False
2921787,s22_e014_1arc_v3.nw,Hilbert,BWTW,False
1983150,s22_e014_1arc_v3.nw,Hilbert,BZIP2,False
3229988,s22_e014_1arc_v3.nw,Hilbert,GZIP,False
7175238,s22_e014_1arc_v3.nw,Hilbert,HFF,False
4419958,s22_e014_1arc_v3.nw,Hilbert,LZ77,False
3600176,s22_e014_1arc_v3.nw,Hilbert,LZO,False
3741469,s22_e014_1arc_v3.nw,Hilbert,LZW,False
9625266,s22_e014_1arc_v3.nw,Hilbert,RLE,False
7175238,s22_e014_1arc_v3.nw,Raster,HFF,False
4476199,s22_e014_1arc_v3.nw,Raster,LZ77,False
4112135,s22_e014_1arc_v3.nw,Raster,LZO,False
5659876,s22_e014_1arc_v3.nw,Raster,LZW,False
4610420,s22_e014_1arc_v3.nw,Morton,BWT77,False
3329534,s22_e014_1arc_v3.nw,Morton,BWTW,False
2267011,s22_e014_1arc_v3.nw,Morton,BZIP2,False
3443951,s22_e014_1arc_v3.nw,Morton,GZIP,False
7175238,s22_e014_1arc_v3.nw,Morton,HFF,False
4765419,s22_e014_1arc_v3.nw,Morton,LZ77,False
3799843,s22_e014_1arc_v3.nw,Morton,LZO,False
3976982,s22_e014_1arc_v3.nw,Morton,LZW,False
10085802,s22_e014_1arc_v3.nw,Morton,RLE,False
9612975,s22_e014_1arc_v3.nw,Raster,RLE,False
3056553,s22_e014_1arc_v3.se,Raster,BWT77,False
1983364,s22_e014_1arc_v3.se,Raster,BWTW,False
1386654,s22_e014_1arc_v3.se,Raster,BZIP2,False
3466073,s22_e014_1arc_v3.se,Gray,BWT77,False
2371059,s22_e014_1arc_v3.se,Gray,BWTW,False
1737099,s22_e014_1arc_v3.se,Gray,BZIP2,False
2651945,s22_e014_1arc_v3.se,Gray,GZIP,False
7128778,s22_e014_1arc_v3.se,Gray,HFF,False
3701759,s22_e014_1arc_v3.se,Gray,LZ77,False
3033544,s22_e014_1arc_v3.se,Gray,LZO,False
3054518,s22_e014_1arc_v3.se,Gray,LZW,False
