name;polygon
s22_e013_1arc_v3.sw;POLYGON((12.99986111111111 -22.000138888888888,12.99986111111111 -21.5,13.5 -21.5,13.5 -22.000138888888888,12.99986111111111 -22.000138888888888))
s22_e013_1arc_v3.nw;POLYGON((12.99986111111111 -21.5,12.99986111111111 -20.99986111111111,13.5 -20.99986111111111,13.5 -21.5,12.99986111111111 -21.5))
s22_e013_1arc_v3.se;POLYGON((13.5 -22.000138888888888,13.5 -21.5,14.000138888888888 -21.5,14.000138888888888 -22.000138888888888,13.5 -22.000138888888888))
s22_e013_1arc_v3.ne;POLYGON((13.5 -21.5,13.5 -20.99986111111111,14.000138888888888 -20.99986111111111,14.000138888888888 -21.5,13.5 -21.5))
s22_e014_1arc_v3.sw;POLYGON((13.99986111111111 -22.000138888888888,13.99986111111111 -21.5,14.5 -21.5,14.5 -22.000138888888888,13.99986111111111 -22.000138888888888))
s22_e014_1arc_v3.nw;POLYGON((13.99986111111111 -21.5,13.99986111111111 -20.99986111111111,14.5 -20.99986111111111,14.5 -21.5,13.99986111111111 -21.5))
s22_e014_1arc_v3.se;POLYGON((14.5 -22.000138888888888,14.5 -21.5,15.000138888888888 -21.5,15.000138888888888 -22.000138888888888,14.5 -22.000138888888888))
s22_e014_1arc_v3.ne;POLYGON((14.5 -21.5,14.5 -20.99986111111111,15.000138888888888 -20.99986111111111,15.000138888888888 -21.5,14.5 -21.5))
s22_e025_1arc_v3.sw;POLYGON((24.99986111111111 -22.000138888888888,24.99986111111111 -21.5,25.5 -21.5,25.5 -22.000138888888888,24.99986111111111 -22.000138888888888))
s22_e025_1arc_v3.nw;POLYGON((24.99986111111111 -21.5,24.99986111111111 -20.99986111111111,25.5 -20.99986111111111,25.5 -21.5,24.99986111111111 -21.5))
s22_e025_1arc_v3.se;POLYGON((25.5 -22.000138888888888,25.5 -21.5,26.000138888888888 -21.5,26.000138888888888 -22.000138888888888,25.5 -22.000138888888888))
s22_e025_1arc_v3.ne;POLYGON((25.5 -21.5,25.5 -20.99986111111111,26.000138888888888 -20.99986111111111,26.000138888888888 -21.5,25.5 -21.5))
s22_e026_1arc_v3.sw;POLYGON((25.99986111111111 -22.000138888888888,25.99986111111111 -21.5,26.5 -21.5,26.5 -22.000138888888888,25.99986111111111 -22.000138888888888))
